CloneOf;Name;Description;Year;Manufacturer
;19xx;19XX: The War Against Destiny (Euro 960104);1996;Capcom
19xx;19xxa;19XX: The War Against Destiny (Asia 960104);1996;Capcom
19xx;19xxar1;19XX: The War Against Destiny (Asia 951207);1996;Capcom
19xx;19xxb;19XX: The War Against Destiny (Brazil 951218);1996;Capcom
19xx;19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);1996;bootleg
19xx;19xxh;19XX: The War Against Destiny (Hispanic 951218);1996;Capcom
19xx;19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);1996;Capcom
19xx;19xxjr1;19XX: The War Against Destiny (Japan 951225);1996;Capcom
19xx;19xxjr2;19XX: The War Against Destiny (Japan 951207);1996;Capcom
19xx;19xxu;19XX: The War Against Destiny (USA 951207);1996;Capcom
;1on1gov;1 on 1 Government (Japan);2000;Tecmo
;2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas
2020bb;2020bba;2020 Super Baseball (set 2);1991;SNK / Pallas
2020bb;2020bbh;2020 Super Baseball (set 3);1991;SNK / Pallas
;20pacgal;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08);2000;Namco / Cosmodog
20pacgal;20pacgalr0;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00);2000;Namco / Cosmodog
20pacgal;20pacgalr1;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01);2000;Namco / Cosmodog
20pacgal;20pacgalr2;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02);2000;Namco / Cosmodog
20pacgal;20pacgalr3;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03);2000;Namco / Cosmodog
20pacgal;20pacgalr4;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04);2000;Namco / Cosmodog
;21064;DEC Alpha 21064;;
;22vp931;Philips 22VP931;;
;22vp932;Philips 22VP932;;
;240in1ar;Mini Arcade Machine (Thumbs Up, 240IN1ARC);201?;Thumbs Up
24_150;24_130;24 v1.30;2009;Stern
24_150;24_140;24 v1.40;2009;Stern
24_150;24_144;24 v1.44;2009;Stern
;24_150;24 v1.50;2009;Stern
;24c01;24C01 I2C Memory;;
;24c02;24C02 I2C Memory;;
;24c04;24C04 I2C Memory;;
;24c08;24C08 I2C Memory;;
;24c16;24C16 I2C Memory;;
;24c512;24C512 I2C Memory;;
;24c64;24C64 I2C Memory;;
;24cdjuke;Midcoin Juke Box 24CD;1988;Midcoin
;25pacman;Pac-Man - 25th Anniversary Edition (Rev 3.00);2006;Namco / Cosmodog
25pacman;25pacmano;Pac-Man - 25th Anniversary Edition (Rev 2.00);2005;Namco / Cosmodog
;28010;Parallel EEPROM 28010 (131072x8);;
;28020;Parallel EEPROM 28020 (262144x8);;
;2804;Parallel EEPROM 2804 (512x8);;
;28040;Parallel EEPROM 28040 (524288x8);;
;280zzzap;280-ZZZAP;1976;Dave Nutting Associates / Midway
;2816;Parallel EEPROM 2816 (2048x8);;
;28256;Parallel EEPROM 28256 (32768x8);;
;28512;Parallel EEPROM 28512 (65536x8);;
;2864;Parallel EEPROM 2864 (8192x8);;
;2joysnd;PET Dual Joysticks and Sound;;
;2mindril;Two Minute Drill (Ver 2.93A 1994/02/16);1993;Taito America Corporation
;2spicy;2 Spicy;2007;Sega
;30test;30 Test (remake);1997;Namco
;315_5296;Sega 315-5296 I/O;;
;315_5338a;Sega 315-5338A I/O Controller;;
;315_5641_pcm;Sega 315-5641 PCM;;
;315_5649;Sega 315-5649 I/O Controller;;
;32x;Genesis with 32X (USA, NTSC);1994;Sega
32x_scd;32x_mcd;Mega-CD with 32X (Europe, PAL);1995;Sega
32x_scd;32x_mcdj;Mega-CD with 32X (Japan, NTSC);1994;Sega
;32x_scd;Sega CD with 32X (USA, NTSC);1994;Sega
32x;32xe;Mega Drive with 32X (Europe, PAL);1994;Sega
32x;32xj;Mega Drive with 32X (Japan, NTSC);1994;Sega
ngen;386i;386i;1990;Convergent Technologies
ibm5170;386sc;386 SC Rev A2;199?;<unknown>
ibm5170;386sc2c;386 motherboard using the Symphony chipset;199?;<unknown>
ibm5170;386schg;386-SC-HG;199?;<unknown>
ibm5170;386sxvhcom;80386SX-VH-COM;199?;<unknown>
;39in1;39 in 1 MAME bootleg (GNO-V000);2004;bootleg
;3b1;UNIX PC Model 3B1;1985;AT&T
;3b2_300;3B2/300;1984;AT&T
3b2_300;3b2_310;3B2/310;1985;AT&T
3b2_300;3b2_400;3B2/400;1985;AT&T
;3b2_600;3B2/600;1987;AT&T
3bagflvt;3bagflnz;3 Bags Full (3VXFC5345, New Zealand);1996;Aristocrat
;3bagflvt;3 Bags Full (5VXFC790, Victoria);1996;Aristocrat
;3c505;3Com EtherLink Plus;;
;3cdpoker;3 Cards Poker 96 (V1.6);1995;Armaly Labs
3cdpoker;3cdpokera;3 Cards Poker 96 (V1.0);1995;Armaly Labs
;3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);1993;SNK
;3do;3DO (NTSC);1993;The 3DO Company
3do;3do_pal;3DO (PAL);1993;The 3DO Company
;3dobios;3DO Bios;1993;The 3DO Company
;3in1semi;New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 1);1998;SemiCom / XESS
3in1semi;3in1semia;New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 2);1998;SemiCom / XESS
;3kokushi;Sankokushi (Japan);1996;Mitchell
;3lilpigs;3 Lil' Pigs;199?;Doyle & Assoc.
;3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);1996;Video System Co.
ibm5170;3siud;3SIUD-1.1;199?;<unknown>
;3stooges;The Three Stooges In Brides Is Brides (set 1);1984;Mylstar
3stooges;3stoogesa;The Three Stooges In Brides Is Brides (set 2);1984;Mylstar
;3super8;3 Super 8 (Italy);1993?;<unknown>
;3wishrd;Three Wishes Red (Russia) (Atronic);2002;Atronic
;3wonders;Three Wonders (World 910520);1991;Capcom
3wonders;3wondersb;Three Wonders (bootleg);1991;bootleg
3wonders;3wondersh;Three Wonders (hack);1991;bootleg
3wonders;3wondersr1;Three Wonders (World 910513);1991;Capcom
3wonders;3wondersu;Three Wonders (USA 910520);1991;Capcom
;3x3puzzl;3X3 Puzzle (Enterprise);1998;Ace Enterprise
3x3puzzl;3x3puzzla;3X3 Puzzle (Normal);1998;Ace Enterprise
;3xtwin;Emerald Technology 3XTwin Twinax Emulation Card;;
;4004clk;4004 Nixie Clock;2008;John L. Weinrich
;40love;Forty-Love (World);1984;Taito Corporation
40love;40lovej;Forty-Love (Japan);1984;Taito Corporation
ibm5170;486apio;486 APIO;199?;EFA
ibm5170;486ccv;486-CCV;199?;Diamond Flower, Inc. (DFI)
ibm5170;486igb21;486IG-B-2-1;199?;<unknown>
ibm5170;486wb6a3;486WB6A3.B1;199?;Silicon Valley Computer, Inc.
39in1;48in1;48 in 1 MAME bootleg (ver 3.09, HPH-V000);2004;bootleg
39in1;48in1a;48 in 1 MAME bootleg (ver 3.02, HPH-V000);2004;bootleg
39in1;48in1b;48 in 1 MAME bootleg (ver 3.09, HPH-V000, alt flash);2004;bootleg
39in1;48in1c;48 in 1 MAME bootleg (ver 3.08, HPH-V000);2004;bootleg
;4d20;Personal IRIS 4D/20;1988;Silicon Graphics Inc
;4d25;Personal IRIS 4D/25;1989;Silicon Graphics Inc
;4d30;Personal IRIS 4D/30;1991;Silicon Graphics Inc
;4d35;Personal IRIS 4D/35;1991;Silicon Graphics Inc
;4d410;4D/410;1991;Silicon Graphics Inc
ibm5170;4dmshl3g;4DMS HL3G-L4-VI;199?;EFA
ibm5170;4dmuhl3s;4DMU HL3S;199?;EFA
;4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega
;4enlinea;Cuatro en Linea (rev. A-07);1991;Compumatic / CIC Play
;4enlinea_cga;ISA8 CGA - 4enlinea;;
4enlinea;4enlineb;Cuatro en Linea (rev. A-06);1991;Compumatic / CIC Play
;4enraya;4 En Raya (set 1);1990;IDSA
4enraya;4enrayaa;4 En Raya (set 2);1990;IDSA
;4in1;4 Fun in 1;1981;Armenia / Food and Fun
39in1;4in1a;4 in 1 MAME bootleg (ver 3.00, PLZ-V014);2004;bootleg
39in1;4in1b;4 in 1 MAME bootleg (PLZ-V001);2004;bootleg
;4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);2002;K1 Soft
ibm5170;4nd04a;386-4N-D04A (UMC chipset);199?;<unknown>
;4psimasy;Mahjong 4P Shimasho (Japan);1994;Sphinx / AV Japan
;4roses;Four Roses (encrypted, set 1);1999;<unknown>
4roses;4rosesa;Four Roses (encrypted, set 2);1999;<unknown>
;500gp;500 GP (US, 5GP3 Ver. C);1998;Namco
;5061_3001;Hewlett-Packard HP-5061-3001;;
;5061_3011;Hewlett-Packard HP-5061-3011;;
;50lionrr;50 Lions - Roaring Riches (20301311, NSW/ACT);2012;Aristocrat
;50lions;50 Lions (10120511, NSW/ACT);2002;Aristocrat
50lions;50lionsm;50 Lions (10156111, Malaysia);2003;Aristocrat
;5a22;Ricoh 5A22;;
;5acespkr;5-Aces Poker;198?;<unknown>
;5clown;Five Clown (English, set 1);1993;IGS
5clown;5clowna;Five Clown (English, set 2);1993;IGS
5clown;5clownsp;Five Clown (Spanish hack);1993;IGS
;5drag;5 Dragons (20161011, NSW/ACT);2004;Aristocrat
5drag;5dragce;5 Dragons - Cash Express (0152309, US);2007;Aristocrat
5drag;5dragsp;5 Dragons (20161011, NSW/ACT, Show Program);2004;Aristocrat
;5koipp;5 Koi - Power Pay (10250711, NSW/ACT);2007;Aristocrat
turtles;600;600;1981;Konami
39in1;60in1;60 in 1 MAME bootleg (ver 3.00, ICD-V000);2004;bootleg
;64street;64th. Street - A Detective Story (World);1991;Jaleco
64street;64streetj;64th. Street - A Detective Story (Japan, set 1);1991;Jaleco
64street;64streetja;64th. Street - A Detective Story (Japan, set 2);1991;Jaleco
;68ksbc;68k Single Board Computer;2002;Wichit Sirichote
705p5prg;705p3prg;MC68705P3 Programmer;1984;Motorola
;705p5prg;MC68705P5 Programmer;1984;Motorola
705p5prg;705r3prg;MC68705R3 Programmer;1984;Motorola
705p5prg;705u3prg;MC68705U3 Programmer;1984;Motorola
;720;720 Degrees (rev 4);1986;Atari Games
720;720g;720 Degrees (German, rev 2);1986;Atari Games
720;720gr1;720 Degrees (German, rev 1);1986;Atari Games
720;720r1;720 Degrees (rev 1);1986;Atari Games
720;720r2;720 Degrees (rev 2);1986;Atari Games
720;720r3;720 Degrees (rev 3);1986;Atari Games
;74148;74148 TTL;;
;7474;7474 TTL;;
;7951om;7951om;1987;Mera-Elzab
;7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);1990;Dynax
;7mezzo;7 e Mezzo;198?;<unknown>
;7ordi;7 Ordi (Korea);2002;Yun Sung
;7smash;7 Smash;1993;Sovic
mgakuen;7toitsu;Chi-Toitsu;1988;Yuga
mariner;800fath;800 Fathoms;1981;Amenip (US Billiards Inc. license)
mariner;800fatha;800 Fathoms (older);1981;Amenip (US Billiards Inc. license)
;86lions;86 Lions;1985;Aristocrat
;88games;'88 Games;1988;Konami
;8ball;Video Eight Ball;1982;Century Electronics
8ball;8ball1;Video Eight Ball (Rev.1);1982;Century Electronics
;8ballact;Eight Ball Action (DK conversion);1984;Seatongrove Ltd (Magic Electronics USA license)
8ballact;8ballact2;Eight Ball Action (DKJr conversion);1984;Seatongrove Ltd (Magic Electronics USA license)
8ballact;8bpm;Eight Ball Action (Pac-Man conversion);1985;Seatongrove Ltd (Magic Electronics USA license)
;8x300;Signetics 8X300;;
;8x305;Signetics 8X305;;
;93c06_16;Serial EEPROM 93C06 (16x16);;
;93c46_16;Serial EEPROM 93C46 (64x16);;
;93c46_8;Serial EEPROM 93C46 (128x8);;
;93c56_16;Serial EEPROM 93C56 (128x16);;
;93c56_8;Serial EEPROM 93C56 (256x8);;
;93c57_16;Serial EEPROM 93C57 (128x16);;
;93c57_8;Serial EEPROM 93C57 (256x8);;
;93c66_16;Serial EEPROM 93C66 (256x16);;
;93c66_8;Serial EEPROM 93C66 (512x8);;
;93c76_16;Serial EEPROM 93C76 (512x16);;
;93c76_8;Serial EEPROM 93C76 (1024x8);;
;93c86_16;Serial EEPROM 93C86 (1024x16);;
;93c86_8;Serial EEPROM 93C86 (2048x8);;
;98best44;Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07);1998;SNK
;990189;TM 990/189 University Board microcomputer;1978;Texas Instruments
990189;990189v;TM 990/189 University Board microcomputer with Video Board Interface;1980;Texas Instruments
gammagic;99bottles;99 Bottles of Beer;1999;Bally Gaming Co.
repulse;99lstwar;'99: The Last War (set 1);1985;Crux / Proma
repulse;99lstwara;'99: The Last War (set 2);1985;Crux / Proma
repulse;99lstwarb;'99: The Last War (bootleg);1985;bootleg
repulse;99lstwark;'99: The Last War (Kyugo);1985;Crux / Kyugo
;9ballsht;9-Ball Shootout (set 1);1993;E-Scape EnterMedia (Bundra license)
9ballsht;9ballsht2;9-Ball Shootout (set 2);1993;E-Scape EnterMedia (Bundra license)
9ballsht;9ballsht3;9-Ball Shootout (set 3);1993;E-Scape EnterMedia (Bundra license)
9ballsht;9ballshtc;9-Ball Shootout Championship;1993;E-Scape EnterMedia (Bundra license)
;a1000;Amiga 1000 (PAL);1985;Commodore
a1000kbd_us;a1000kbd_de;Amiga 1000 Keyboard (Germany/Austria);;
a1000kbd_us;a1000kbd_dk;Amiga 1000 Keyboard (Denmark);;
a1000kbd_us;a1000kbd_fr;Amiga 1000 Keyboard (France/Belgium);;
a1000kbd_us;a1000kbd_gb;Amiga 1000 Keyboard (UK);;
a1000kbd_us;a1000kbd_it;Amiga 1000 Keyboard (Italy);;
a1000kbd_us;a1000kbd_se;Amiga 1000 Keyboard (Sweden/Finland);;
;a1000kbd_us;Amiga 1000 Keyboard (U.S./Canada);;
;a1000kbrst;Amiga 1000/2000/CDTV keyboard reset circuit;;
a1000;a1000n;Amiga 1000 (NTSC);1985;Commodore
;a1010;Textel Compact A1010-0;1993;Humantechnik
;a1200;Amiga 1200 (PAL);1992;Commodore
;a1200kbd_rb;Amiga 1200 Keyboard Rev B;;
a1200;a1200n;Amiga 1200 (NTSC);1992;Commodore
a800;a1200xl;Atari 1200XL;1982;Atari
a800xl;a130xe;Atari 130XE;1986;Atari
;a1bus;Apple I Bus;;
;a1bus_slot;Apple I Slot;;
;a1cass;Apple I cassette board;;
;a2000;Amiga 2000 (PAL);1987;Commodore
a2000kbd_us;a2000kbd_ch;Amiga 2000/3000/4000 Keyboard (Switzerland);;
a2000kbd_us;a2000kbd_de;Amiga 2000/3000/4000 Keyboard (Germany/Austria);;
a2000kbd_us;a2000kbd_dk;Amiga 2000/3000/4000 Keyboard (Denmark);;
a2000kbd_us;a2000kbd_es;Amiga 2000/3000/4000 Keyboard (Spain);;
a2000kbd_us;a2000kbd_fr;Amiga 2000/3000/4000 Keyboard (France/Belgium);;
a2000kbd_g80_us;a2000kbd_g80_de;Amiga 2000 Keyboard (Cherry - Germany/Austria);;
a2000kbd_g80_us;a2000kbd_g80_dk;Amiga 2000 Keyboard (Cherry - Denmark);;
a2000kbd_g80_us;a2000kbd_g80_gb;Amiga 2000 Keyboard (Cherry - UK);;
a2000kbd_g80_us;a2000kbd_g80_se;Amiga 2000 Keyboard (Cherry - Sweden/Finland);;
;a2000kbd_g80_us;Amiga 2000 Keyboard (Cherry - U.S./Canada);;
a2000kbd_us;a2000kbd_gb;Amiga 2000/3000/4000 Keyboard (UK);;
a2000kbd_us;a2000kbd_it;Amiga 2000/3000/4000 Keyboard (Italy);;
a2000kbd_us;a2000kbd_no;Amiga 2000/3000/4000 Keyboard (Norway);;
a2000kbd_us;a2000kbd_se;Amiga 2000/3000/4000 Keyboard (Sweden/Finland);;
;a2000kbd_us;Amiga 2000/3000/4000 Keyboard (U.S./Canada);;
a2000;a2000n;Amiga 2000 (NTSC);1987;Commodore
;a24play;4play Joystick Card (rev. B);;
;a2600;Atari 2600 (NTSC);1977;Atari
;a2600_cm;Atari 2600 ROM Cart Compumate;;
;a2600_dpc;Atari 2600 ROM Cart Pitfall II;;
;a2600_harmony;Atari 2600 ROM Cart HARMONY/MELODY;;
;a2600_pop;Atari 2600 Point of Purchase Display;198?;Atari
;a2600_ss;Atari 2600 ROM Cart Supercharger;;
a2600;a2600p;Atari 2600 (PAL);1978;Atari
;a2aesms;Applied Engineering Super Music Synthesizer;;
;a2aevm80;Applied Engineering Viewmaster 80;;
;a2alfam2;ALF MC1 / Apple Music II;;
;a2ap16;IBS AP-16 80 column card;;
;a2ap16a;IBS AP-16 80 column card (alt. version);;
;a2aplcrd;PCPI Applicard;;
;a2arcbd;Third Millenium Engineering Arcade Board;;
;a2booti;Booti Card;;
;a2bufgrapplerplus;Orange Micro Buffered Grappler+ Printer Interface;;
a2bufgrapplerplus;a2bufgrapplerplusa;Orange Micro Buffered Grappler+ (rev A) Printer Interface;;
;a2bus;Apple II Bus;;
;a2bus_byte8251;BYTE Serial Interface (8251 based);;
;a2bus_slot;Apple II Slot;;
;a2ceyes;Digital Vision ComputerEyes;;
;a2ceyes2;Digital Vision ComputerEyes/2;;
;a2cffa02;CFFA 2.0 Compact Flash (6502 firmware, www.dreher.net);;
;a2cffa2;CFFA 2.0 Compact Flash (65C02 firmware, www.dreher.net);;
;a2corvus;Corvus Flat Cable interface;;
;a2diskiing;Apple Disk II NG controller (16-sector);;
;a2dx1;Decillonix DX-1;;
;a2eauxslot;Apple IIe AUX Bus;;
;a2eauxslot_slot;Apple IIe AUX Slot;;
;a2echoii;Street Electronics Echo II;;
;a2echop;Street Electronics Echo Plus;;
;a2eext80;Apple IIe Extended 80-Column Card;;
;a2ef384;Franklin ACE 500 expansion RAM;;
;a2ef512;Franklin ACE 2x00 expansion RAM;;
;a2erwks3;Applied Engineering RamWorks III;;
;a2estd80;Apple IIe Standard 80-Column Card;;
;a2excel9;Seikou Excel-9;;
;a2ezcgi;E-Z Color Graphics Interface;;
;a2ezcgi3;E-Z Color Graphics Interface (TMS9938);;
;a2ezcgi5;E-Z Color Graphics Interface (TMS9958);;
;a2focdrv;Parsons Engineering Focus Drive;;
;a2gameio;Apple II Game I/O Connector;;
;a2gizmo;HAL Labs Gizmo;;
;a2grafex;Grafex-32;;
;a2grappler;Orange Micro Grappler Printer Interface;;
;a2grapplerplus;Orange Micro Grappler+ Printer Interface;;
;a2hsscsi;Apple II High-Speed SCSI Card;;
;a2iwm;Apple Disk II IWM controller;;
;a2iwmint;Apple IWM controller;;
;a2joy;Apple II analog joysticks;;
;a2joyprt;Sirius JoyPort;;
;a2lancegs;///SHH Systeme LANceGS;;
;a2laser128;VTech Laser 128 Internal Device;;
;a2laser128o;VTech Laser 128 Internal Device (original hardware);;
;a2mcms1;Mountain Computer Music System (card 1);;
;a2mcms2;Mountain Computer Music System (card 2);;
;a2memexp;Apple II Memory Expansion Card;;
;a2midi;6850 MIDI card;;
;a2mockbd;Sweet Micro Systems Mockingboard Sound/Speech I;;
;a2mouse;Apple II Mouse Card;;
;a2parprn;Apple II Parallel Printer Interface Card;;
;a2pcxport;Applied Engineering PC Transporter;;
;a2pdls;Apple II paddles;;
;a2pdromdr;ProDOS ROM Drive;;
;a2phasor;Applied Engineering Phasor;;
;a2pic;Apple II Parallel Interface Card;;
;a2q68;Stellation Two Q-68;;
a2q68;a2q68plus;Stellation Two Q-68 Plus;;
;a2ram16k;Apple II 16K Language Card;;
;a2ramfac;Applied Engineering RamFactor;;
;a2sam;Don't Ask Software S.A.M.;;
;a2scsi;Apple II SCSI Card;;
;a2sd;Apple II SD Card;;
;a2sider1;First Class Peripherals Sider 1 SASI Card;;
;a2sider2;First Class Peripherals Sider 2 SASI Card;;
;a2softcard;Microsoft SoftCard;;
;a2ssbapl;Multitech Industrial SSB Apple speech card;;
;a2ssc;Apple Super Serial Card;;
;a2ssprite;Synetix SuperSprite;;
;a2superdrive;"Apple II 3.5"" Disk Controller Card";;
;a2suprterm;M&R Enterprises SUP'R'TERMINAL;;
;a2surance;Applesurance Diagnostic Controller;;
;a2swyft;IAI SwyftCard;;
;a2themill;Stellation Two The Mill;;
;a2thunpl;ThunderWare ThunderClock Plus;;
;a2tmstho;Applied Engineering TimeMaster H.O.;;
;a2twarp;Applied Engineering TransWarp;;
;a2ultrme;Videx UltraTerm (enhanced //e);;
;a2ulttrm;Videx UltraTerm (original);;
;a2uniprint;Videx Uniprint Printer Interface;;
;a2uthernet;a2RetroSystems Uthernet;;
;a2video;Apple II video;;
;a2video_comp;Apple II video (composite);;
;a2video_comprgb;Apple II video (composite/RGB);;
;a2vidtrm;Videx Videoterm 80 Column Display;;
;a2vtc1;unknown Videoterm clone;;
;a2vulcan;Applied Engineering Vulcan IDE controller (IIgs version);;
;a2vulgld;Applied Engineering Vulcan Gold IDE controller (IIgs version);;
;a2vuliie;Applied Engineering Vulcan IDE controller (//e version);;
;a2zipdrv;Zip Technologies ZipDrive;;
;a3000;Amiga 3000 (PAL);1990;Commodore
a3000;a3000n;Amiga 3000 (NTSC);1990;Commodore
;a3fdc;Apple III floppy controller;;
;a400;Atari 400 (NTSC);1979;Atari
;a4000;Amiga 4000/040 (PAL);1992;Commodore
a4000;a400030;Amiga 4000/030 (PAL);1993;Commodore
a4000;a400030n;Amiga 4000/030 (NTSC);1993;Commodore
a4000;a4000n;Amiga 4000/040 (NTSC);1992;Commodore
;a4000t;Amiga 4000T (PAL);1994;Commodore
a4000t;a4000tn;Amiga 4000T (NTSC);1994;Commodore
a400;a400pal;Atari 400 (PAL);1979;Atari
ibm5170;a433cc;A433C-C/A450C-C;1992;J-Bond
ibm5170;a486ap4;PVI-486AP4;1994;Asus
ibm5170;a486isa;ISA-486;199?;Asus
ibm5170;a486sio;ISA-486SIO rev. 1.2;199?;Asus
ibm5170;a486sp3;PVI-486SP3;1994;Asus
ibm5170;a486sp3g;PCI/I-486SP3G;1994;Asus
ibm5170;a486sv1;VL/EISA-486SV1;1994;Asus
ibm5170;a486sv2;ISA-486SV2;199?;Asus
ibm5170;a486sv2g;VL/I-486SV2G;1994;Asus
;a500;Amiga 500 (PAL);1987;Commodore
;a5000;Rockwell A5000;;
a2000kbd_us;a500kbd_ch;Amiga 500 Keyboard (Switzerland);;
a2000kbd_us;a500kbd_de;Amiga 500 Keyboard (Germany/Austria);;
a2000kbd_us;a500kbd_dk;Amiga 500 Keyboard (Denmark);;
a2000kbd_us;a500kbd_es;Amiga 500 Keyboard (Spain);;
a2000kbd_us;a500kbd_fr;Amiga 500 Keyboard (France/Belgium);;
a2000kbd_us;a500kbd_gb;Amiga 500 Keyboard (UK);;
a2000kbd_us;a500kbd_it;Amiga 500 Keyboard (Italy);;
a2000kbd_us;a500kbd_no;Amiga 500 Keyboard (Norway);;
a2000kbd_us;a500kbd_se;Amiga 500 Keyboard (Sweden/Finland);;
a2000kbd_us;a500kbd_us;Amiga 500 Keyboard (U.S./Canada);;
a500;a500n;Amiga 500 (NTSC);1987;Commodore
;a500p;Amiga 500 Plus (PAL);1992;Commodore
a500p;a500pn;Amiga 500 Plus (NTSC);1992;Commodore
;a5105;BIC A5105;1989;VEB Robotron
;a5120;A5120;1982;VEB Robotron
a5120;a5130;A5130;1983;VEB Robotron
area51mx;a51mxr3k;Area 51 / Maximum Force Duo (R3000, 2/10/98);1998;Atari Games
area51mx;a51mxr3ka;Area 51 / Maximum Force Duo (R3000, 2/02/98);1998;Atari Games
;a51site4;Area 51: Site 4 (HD Rev 2.01, September 7, 1998);1998;Atari Games
a51site4;a51site4a;Area 51: Site 4 (HD Rev 2.0, September 11, 1998);1998;Atari Games
;a5200;Atari 5200;1982;Atari
;a5200_16k2c;Atari 5200 ROM Cart 16K in 2 Chips;;
;a5200_bbsb;Atari 5200 ROM Cart BBSB;;
;a5200_cart_slot;Atari 5200 Cartridge Slot;;
a5200;a5200a;Atari 5200 (2-port);1983;Atari
;a5500;Rockwell A5500;;
;a5900;Rockwell A5900;;
;a600;Amiga 600 (PAL);1992;Commodore
a2000kbd_us;a600kbd_ch;Amiga 600 Keyboard (Switzerland);;
a2000kbd_us;a600kbd_de;Amiga 600 Keyboard (Germany/Austria);;
a2000kbd_us;a600kbd_dk;Amiga 600 Keyboard (Denmark);;
a2000kbd_us;a600kbd_es;Amiga 600 Keyboard (Spain);;
